field,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
fips,01,02,04,05,06,08,09,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56
population_total,5193088,737270,7623818,3114791,39355309,6012561,3688496,1059952,693645,23462518,11302748,1432820,2029733,12719141,6973333,3238387,2977220,4606864,4618189,1414874,6265347,7154084,10127884,5830405,2954160,6270541,1144694,2018006,3282188,1415342,9548215,2125498,20002427,11197968,799358,11900510,4123288,4273586,13059432,1114521,5570274,935094,7315076,31709821,3538904,644663,8880107,8001020,1766147,5972787,588753
marriage_rate,6.9,6.4,5.6,7.8,5.5,7.8,6.2,4.7,8.6,7.0,5.9,12.5,7.0,5.1,5.9,5.2,5.3,6.1,3.7,7.0,5.2,5.2,5.0,4.8,5.5,5.7,9.2,5.3,24.6,6.6,5.4,4.7,6.5,6.0,5.1,5.1,5.9,5.8,5.3,5.9,6.2,5.9,7.3,5.8,11.2,7.2,5.8,5.6,5.8,5.0,7.0
