topic,description,status
gdp_nominal,"GDP, nominal, largest economies",todo
gdp_ppp,"GDP, purchasing power parity, largest economies",todo
gdp_per_capita,GDP per person,todo
gdp_per_capita_ppp,Purchasing power per person,todo
gdp_growth_rate,Economic growth rate,todo
